problem_id,rating,tags
2114_A,800.0,"['binary search', 'brute force', 'math']"
2113_F,2500.0,"['constructive algorithms', 'dfs and similar', 'graphs', 'math']"
2113_E,2800.0,"['dfs and similar', 'graphs', 'implementation', 'trees']"
2113_D,2200.0,"['binary search', 'constructive algorithms', 'greedy', 'implementation']"
2113_C,1700.0,"['brute force', 'constructive algorithms', 'greedy']"
2113_B,1200.0,"['constructive algorithms', 'math']"
2113_A,800.0,"['greedy', 'math']"
2112_F,2800.0,"['graphs', 'greedy', 'shortest paths']"
2112_E,2200.0,"['combinatorics', 'dfs and similar', 'dp', 'graphs', 'math', 'number theory', 'trees']"
2112_D,1700.0,"['constructive algorithms', 'dfs and similar', 'graphs', 'trees']"
2112_C,1300.0,"['binary search', 'brute force', 'greedy', 'two pointers']"
2112_B,1100.0,"['brute force', 'greedy']"
2112_A,800.0,"['implementation', 'math']"
2111_G,2900.0,"['binary search', 'bitmasks', 'brute force', 'data structures', 'interactive']"
2111_F,2400.0,"['brute force', 'constructive algorithms', 'greedy', 'math']"
2111_E,1900.0,"['binary search', 'data structures', 'greedy', 'implementation', 'sortings', 'strings']"
2111_D,1400.0,"['constructive algorithms', 'data structures', 'greedy', 'implementation', 'sortings']"
2111_C,1100.0,"['brute force', 'greedy', 'two pointers']"
2111_B,1100.0,"['brute force', 'dp', 'implementation', 'math']"
2111_A,800.0,"['greedy', 'implementation', 'math']"
2110_F,2400.0,"['brute force', 'greedy', 'math', 'number theory']"
2110_E,2300.0,"['dfs and similar', 'graphs', 'implementation']"
2110_D,1700.0,"['binary search', 'dfs and similar', 'dp', 'graphs', 'greedy', 'hashing']"
2110_C,1400.0,"['constructive algorithms', 'greedy']"
2110_B,900.0,['strings']
2110_A,800.0,"['implementation', 'sortings']"
2109_F,3000.0,"['binary search', 'dfs and similar', 'flows', 'graphs', 'shortest paths']"
2109_E,2400.0,"['combinatorics', 'dp', 'strings']"
2109_D,1900.0,"['dfs and similar', 'graphs', 'greedy', 'shortest paths']"
2109_C3,2600.0,"['constructive algorithms', 'interactive', 'math', 'number theory']"
2109_C2,1700.0,"['constructive algorithms', 'interactive', 'math', 'number theory']"
2109_C1,1500.0,"['bitmasks', 'constructive algorithms', 'interactive', 'math', 'number theory']"
2109_B,1200.0,"['bitmasks', 'greedy', 'math']"
2109_A,800.0,['implementation']
2108_F,2900.0,"['binary search', 'greedy']"
2108_E,2600.0,"['constructive algorithms', 'dfs and similar', 'graphs', 'greedy', 'implementation', 'shortest paths', 'trees']"
2108_D,2200.0,"['binary search', 'brute force', 'implementation', 'interactive']"
2108_C,1500.0,"['binary search', 'brute force', 'data structures', 'dp', 'dsu', 'graphs', 'greedy', 'implementation']"
2108_B,1300.0,"['bitmasks', 'constructive algorithms', 'greedy', 'implementation', 'math']"
2108_A,800.0,"['combinatorics', 'greedy', 'math']"
2107_F2,2800.0,"['binary search', 'brute force', 'data structures', 'dp', 'greedy']"
2107_F1,2300.0,"['binary search', 'brute force', 'dp', 'greedy']"
2107_E,2600.0,"['binary search', 'constructive algorithms', 'greedy', 'math', 'trees']"
